"","Season","Week","Name","Position","Team","Home.Away","Opponent","FanDuel.pts","FanDuel.sal"
"231",2015,12,"Lance Moore","WR","DET","HOME","PHI",1.9,5000
"232",2015,12,"Brian Quick","WR","STL","AWAY","CIN",1.8,4500
"233",2015,12,"Marqise Lee","WR","JAC","HOME","SDG",1.8,4600
"234",2015,12,"Miles Austin","WR","PHI","AWAY","DET",1.7,4700
"235",2015,12,"Josh Huff","WR","PHI","AWAY","DET",1.6,5000
"236",2015,12,"Andre Holmes","WR","OAK","AWAY","TEN",1.4,4900
"237",2015,12,"Bennie Fowler","WR","DEN","HOME","NWE",1.3,4600
"238",2015,12,"Keshawn Martin","WR","NWE","AWAY","DEN",1.3,4900
"239",2015,12,"Mohamed Sanu","WR","CIN","HOME","STL",1.3,5100
"240",2015,12,"Cody Latimer","WR","DEN","HOME","NWE",1.2,4800
"241",2015,12,"Quinton Patton","WR","SFO","HOME","ARI",1.1,4500
"242",2015,12,"Seyi Ajirotutu","WR","PHI","AWAY","DET",0.9,4500
"243",2015,12,"Lucky Whitehead","WR","DAL","HOME","CAR",0.9,4500
"244",2015,12,"Bryan Walters","WR","JAC","HOME","SDG",0.9,5200
"245",2015,12,"Ted Ginn Jr.","WR","CAR","AWAY","DAL",0,5400
"246",2015,12,"Darrius Heyward-Bey","WR","PIT","AWAY","SEA",0,4700
"247",2015,12,"Jason Avant","WR","KAN","HOME","BUF",0,4500
"248",2015,12,"Eric Weems","WR","ATL","HOME","MIN",0,4500
"249",2015,12,"Jerome Simpson","WR","SFO","HOME","ARI",0,4700
"250",2015,12,"Cordarrelle Patterson","WR","MIN","AWAY","ATL",0,4500
"251",2015,12,"Griff Whalen","WR","IND","HOME","TAM",0,4500
"252",2015,12,"Chris Conley","WR","KAN","HOME","BUF",0,4900
"253",2015,12,"Javontee Herndon","WR","SDG","AWAY","JAC",0,4500
"254",2015,12,"Rishard Matthews","WR","MIA","AWAY","NYJ",0,6200
"255",2015,12,"Brandon Tate","WR","CIN","HOME","STL",0,4700
"256",2015,12,"Corey Fuller","WR","DET","HOME","PHI",0,4500
"257",2015,12,"Jeff Janis","WR","GNB","HOME","CHI",0,4500
"258",2015,12,"Jeremy Kerley","WR","NYJ","HOME","MIA",0,4500
"259",2015,12,"Andre Roberts","WR","WAS","HOME","NYG",0,4700
"260",2015,12,"James Jones","WR","GNB","HOME","CHI",0,5800
"261",2015,12,"Matthew Slater","WR","NWE","AWAY","DEN",0,4500
"262",2015,12,"Frankie Hammond","WR","KAN","HOME","BUF",0,4500
"263",2015,12,"Rashad Ross","WR","WAS","HOME","NYG",0,4800
"264",2015,12,"Brandon Coleman","WR","NOR","AWAY","HOU",0,4800
"265",2015,12,"Keith Mumphery","WR","HOU","HOME","NOR",0,4600
"266",2015,12,"Dwayne Bowe","WR","CLE","HOME","BAL",0,4700
"267",2015,12,"Mike Wallace","WR","MIN","AWAY","ATL",0,5100
"268",2015,12,"Adam Thielen","WR","MIN","AWAY","ATL",0,4500
"269",2015,12,"Jaron Brown","WR","ARI","AWAY","SFO",0,4500
"270",2015,12,"Josh Bellamy","WR","CHI","AWAY","GNB",0,4500
"271",2015,12,"Charles Johnson","WR","MIN","AWAY","ATL",0,4800
"272",2015,12,"Jacoby Jones","WR","PIT","AWAY","SEA",0,4500
"273",2015,12,"Russell Shepard","WR","TAM","AWAY","IND",0,4500
"274",2015,12,"Chris Harper","WR","NWE","AWAY","DEN",-2,4500
"275",2015,12,"Jeremy Ross","WR","OAK","AWAY","TEN",-2,4500
"276",2015,12,"Bruce Ellington","WR","SFO","HOME","ARI",-2,4500
"277",2015,12,"Julius Thomas","TE","JAC","HOME","SDG",22.1,5300
"278",2015,12,"Antonio Gates","TE","SDG","AWAY","JAC",19.3,5700
"279",2015,12,"Rob Gronkowski","TE","NWE","AWAY","DEN",17.8,8400
"280",2015,12,"Vance McDonald","TE","SFO","HOME","ARI",16.1,4600
