Id,Position,First Name,Last Name,Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Starter
29805,RB,Ryan,Hewitt,Ryan Hewitt,0.9,12,4500,PIT@CIN,CIN,PIT,,,Y
25837,RB,Duke,Johnson,Duke Johnson,8.5,12,5600,SF@CLE,CLE,SF,,,Y
54684,RB,Isaiah,Crowell,Isaiah Crowell,6.3,12,5200,SF@CLE,CLE,SF,,,Y
7806,RB,Darren,McFadden,Darren McFadden,10.6,12,6700,DAL@GB,DAL,GNB,,,Y
22048,RB,Robert,Turbin,Robert Turbin,2.9,6,4600,DAL@GB,DAL,GNB,,,Y
28545,RB,Rod,Smith,Rod Smith,0.2,7,4500,DAL@GB,DAL,GNB,,,Y
22003,RB,Ronnie,Hillman,Ronnie Hillman,9,12,6400,OAK@DEN,DEN,OAK,,,Y
29249,RB,C.J.,Anderson,C.J. Anderson,8.4,12,5900,OAK@DEN,DEN,OAK,Q,Ankle,Y
24797,RB,Juwan,Thompson,Juwan Thompson,0.7,11,4600,OAK@DEN,DEN,OAK,,,Y
22235,RB,Jeremy,Stewart,Jeremy Stewart,0,0,4500,OAK@DEN,DEN,OAK,,,Y
33465,RB,Theo,Riddick,Theo Riddick,9,12,5500,DET@STL,DET,STL,,,Y
27229,RB,Ameer,Abdullah,Ameer Abdullah,6.1,12,5400,DET@STL,DET,STL,,,Y
11712,RB,Joique,Bell,Joique Bell,5.9,9,5000,DET@STL,DET,STL,,,Y
30968,RB,Eddie,Lacy,Eddie Lacy,7.9,11,6200,DAL@GB,GNB,DAL,,,Y
11609,RB,James,Starks,James Starks,9.3,12,5600,DAL@GB,GNB,DAL,,,Y
7244,RB,John,Kuhn,John Kuhn,0.9,12,4500,DAL@GB,GNB,DAL,,,Y
44090,RB,Alonzo,Harris,Alonzo Harris,0.3,6,4500,DAL@GB,GNB,DAL,,,Y
31406,RB,Alfred,Blue,Alfred Blue,6.6,12,5300,NE@HOU,HOU,NWE,,,Y
